iter	RMSE
0	76218.69852
1	73310.04327
2	69973.9367
3	66792.64694
4	63644.52401
5	60966.87288
6	58310.6906
7	55679.84118
8	53370.15072
9	51201.05373
10	48726.05816
11	46622.52902
12	44536.02331
13	42468.42538
14	40789.89251
15	39051.62214
16	37400.46296
17	36005.402
18	34498.79763
19	33162.93343
20	31785.28028
21	30501.28522
22	29274.9996
23	28090.8728
24	26975.76604
25	26053.20051
26	25069.57693
27	24124.13744
28	23270.23114
29	22428.56985
30	21635.08013
31	20926.71232
32	20290.50286
33	19484.15696
34	18783.50994
35	18083.39977
36	17448.87711
37	16847.58774
38	16290.18641
39	15819.84669
40	15378.15953
41	14879.52368
42	14445.89559
43	13954.60421
44	13526.16903
45	13185.57052
46	12835.38009
47	12458.52861
48	12150.25538
49	11838.5741
50	11534.35189
51	11303.17394
52	11047.22484
53	10748.40748
54	10458.1065
55	10182.97618
56	9966.444555
57	9754.547412
58	9517.037999
59	9327.626074
60	9113.853926
61	8906.751515
62	8746.103816
63	8587.410704
64	8444.501385
65	8336.855316
66	8182.404591
67	8051.77234
68	7882.049032
69	7776.137481
70	7705.352006
71	7595.715999
72	7429.785677
73	7311.924006
74	7214.90304
75	7120.091307
76	6995.740188
77	6875.56778
78	6775.453593
79	6667.403529
80	6542.365497
81	6447.293866
82	6371.035649
83	6276.185225
84	6228.359872
85	6136.611964
86	6084.966797
87	6036.619363
88	5962.892665
89	5875.723969
90	5802.953138
91	5724.594066
92	5642.68869
93	5611.75661
94	5557.486076
95	5483.770561
96	5413.825363
97	5364.077385
98	5300.540588
99	5247.731
100	5174.477844
101	5125.336152
102	5088.961883
103	5063.058797
104	5021.234463
105	4979.426254
106	4922.885476
107	4882.526956
108	4830.509222
109	4804.707067
110	4778.062894
111	4752.412159
112	4709.74207
113	4661.981314
114	4619.916233
115	4572.596278
116	4535.284242
117	4504.749523
118	4473.520625
119	4443.537411
120	4384.597376
121	4326.947657
122	4282.061432
123	4252.038571
124	4198.177144
125	4147.33646
126	4121.986976
127	4100.201249
128	4057.066015
129	4015.669908
130	3982.303377
131	3958.338048
132	3933.849069
133	3899.083322
134	3873.93349
135	3855.224921
136	3837.136549
137	3826.164921
138	3802.678032
139	3780.824348
140	3742.391472
141	3714.718045
142	3682.889046
143	3660.564734
144	3636.546456
145	3609.738615
146	3590.968727
147	3571.574736
148	3555.473636
149	3544.870761
150	3519.843153
151	3500.233196
152	3472.809548
153	3453.159916
154	3428.813504
155	3403.635286
156	3384.483405
157	3359.664806
158	3336.821326
159	3322.998839
160	3301.294569
161	3288.928154
162	3279.067753
163	3264.363833
164	3242.625453
165	3230.349116
166	3210.354663
167	3192.397578
168	3173.459783
169	3151.539891
170	3137.758
171	3132.80951
172	3114.871718
173	3091.564636
174	3079.00403
175	3061.891404
176	3049.088402
177	3037.531848
178	3025.252353
179	3015.247302
180	2993.365089
181	2973.335185
182	2960.08917
183	2952.120785
184	2935.16213
185	2914.875613
186	2902.580202
187	2887.230805
188	2875.364111
189	2861.524612
190	2849.371461
191	2836.592771
192	2822.075238
193	2809.311544
194	2798.748529
195	2788.826068
196	2775.306563
197	2765.034459
198	2754.360475
199	2741.563485
200	2726.243935
201	2718.423344
202	2709.014254
203	2704.556564
204	2697.387041
205	2687.270912
206	2680.195576
207	2670.014998
208	2659.935687
209	2646.975227
210	2641.09985
211	2634.447156
212	2620.501818
213	2609.50505
214	2594.731
215	2586.255309
216	2575.558997
217	2566.617916
218	2556.227028
219	2548.497667
220	2535.734514
221	2530.644937
222	2518.248703
223	2507.047856
224	2494.264701
225	2490.279831
226	2481.384197
227	2476.899371
228	2469.311897
229	2461.729589
230	2455.977958
231	2447.009517
232	2441.896459
233	2434.244973
234	2429.100479
235	2418.93845
236	2411.581908
237	2402.658849
238	2397.007404
239	2387.287115
240	2381.51444
241	2371.966537
242	2368.058824
243	2360.697542
244	2352.925016
245	2344.333926
246	2336.61493
247	2325.111727
248	2313.416763
249	2304.19787
250	2295.257295
251	2288.65844
252	2281.033099
253	2273.085282
254	2265.709063
255	2260.588897
256	2258.078268
257	2249.590357
258	2242.369748
259	2233.863977
260	2229.064427
261	2227.825767
262	2222.771448
263	2216.940246
264	2215.93441
265	2209.000462
266	2205.09801
267	2197.788738
268	2192.238469
269	2185.567988
270	2179.786368
271	2175.961074
272	2173.694262
273	2171.304238
274	2165.046744
275	2155.569401
276	2149.723789
277	2145.803283
278	2139.985415
279	2133.716116
280	2132.65536
281	2131.641249
282	2122.40289
283	2112.246205
284	2104.994371
285	2098.878724
286	2097.512592
287	2089.059548
288	2083.182106
289	2076.253863
290	2070.521743
291	2069.248075
292	2068.447722
293	2060.662891
294	2057.425874
295	2056.221885
296	2047.318793
297	2044.738136
298	2039.315777
299	2033.339242
300	2028.528481
301	2024.094982
302	2015.722854
303	2014.570838
304	2009.251916
305	2002.980634
306	1998.734424
307	1993.300766
308	1992.217672
309	1987.504714
310	1983.028928
311	1982.30434
312	1977.21484
313	1973.227192
314	1966.346815
315	1961.824695
316	1950.565336
317	1944.884809
318	1938.837962
319	1934.912509
320	1934.017666
321	1929.894932
322	1922.785628
323	1917.265485
324	1912.709835
325	1906.58171
326	1902.443786
327	1899.385731
328	1898.471601
329	1895.072148
330	1887.607797
331	1886.957887
332	1884.714781
333	1881.207978
334	1876.60026
335	1872.951487
336	1866.064514
337	1861.331183
338	1856.920011
339	1852.01286
340	1851.255996
341	1844.641722
342	1838.024641
343	1834.095068
344	1833.444866
345	1832.711031
346	1827.459608
347	1826.652535
348	1825.883179
349	1821.360151
350	1818.018971
351	1811.122231
352	1805.770179
353	1801.459393
354	1800.449451
355	1795.553705
356	1789.700136
357	1785.561502
358	1781.957481
359	1779.040953
360	1775.756159
361	1769.456895
362	1764.784362
363	1761.638507
364	1757.152235
365	1751.955916
366	1745.901806
367	1740.917491
368	1738.205505
369	1734.29695
370	1730.534058
371	1726.54483
372	1722.532031
373	1719.665832
374	1716.229388
375	1715.603628
376	1711.719317
377	1709.6626
378	1705.074789
379	1699.663589
380	1694.96222
381	1691.788001
382	1688.928517
383	1684.840246
384	1681.892322
385	1678.354171
386	1674.570999
387	1674.035466
388	1669.267256
389	1665.973079
390	1660.596763
391	1657.090539
392	1654.107768
393	1651.108788
394	1646.859656
395	1646.201128
396	1643.251928
397	1639.621342
398	1635.022289
399	1632.27492
400	1626.127924
401	1618.497954
402	1614.409264
403	1611.668042
404	1610.917678
405	1608.315146
406	1604.226379
407	1603.718252
408	1600.078801
409	1597.0258
410	1592.735207
411	1589.083059
412	1586.514824
413	1583.051104
414	1580.085001
415	1577.022053
416	1576.654437
417	1573.581862
418	1569.389022
419	1566.094412
420	1565.756132
421	1562.952963
422	1560.587613
423	1558.345872
424	1551.408985
425	1546.146356
426	1544.34361
427	1540.50167
428	1536.603481
429	1532.750081
430	1529.910144
431	1527.545265
432	1523.648639
433	1521.324993
434	1517.796596
435	1514.270973
436	1510.312294
437	1506.75524
438	1506.406271
439	1504.320034
440	1500.964613
441	1498.196668
442	1494.742828
443	1494.302474
444	1492.226108
445	1488.836629
446	1484.932916
447	1484.633492
448	1481.891378
449	1477.61009
450	1475.078908
451	1471.539189
452	1469.772073
453	1467.289579
454	1465.045001
455	1461.818386
456	1461.478039
457	1458.803403
458	1455.663481
459	1454.280864
460	1450.901429
461	1447.966242
462	1446.2588
463	1443.360591
464	1439.026602
465	1433.814703
466	1430.72632
467	1426.922998
468	1424.656727
469	1422.148927
470	1417.529512
471	1416.532686
472	1413.420329
473	1408.870495
474	1406.821028
475	1403.854574
476	1400.424348
477	1398.69482
478	1396.920781
479	1393.792122
480	1392.450222
481	1388.52927
482	1386.548797
483	1383.245439
484	1380.738612
485	1377.725166
486	1375.366699
487	1373.093552
488	1371.560646
489	1369.262857
490	1367.168476
491	1365.279158
492	1362.862647
493	1360.139671
494	1356.866098
495	1355.557677
496	1353.277889
497	1350.826552
498	1348.30498
499	1348.029521
500	1347.040922
501	1346.830846
502	1344.058825
503	1342.005435
504	1338.400974
505	1335.876111
506	1332.188515
507	1331.851045
508	1329.050231
509	1328.53082
510	1326.809709
511	1324.047595
512	1321.799246
513	1321.579411
514	1319.505485
515	1317.870779
516	1315.386456
517	1311.809777
518	1308.50791
519	1306.941783
520	1305.662124
521	1302.354211
522	1302.033997
523	1300.128214
524	1298.900607
525	1296.489793
526	1294.698448
527	1292.954331
528	1290.40968
529	1289.019258
530	1287.891044
531	1284.815961
532	1282.782254
533	1279.597408
534	1276.486824
535	1272.571227
536	1271.381233
537	1268.783258
538	1266.32366
539	1265.252085
540	1261.960909
541	1259.075631
542	1257.038546
543	1254.384557
544	1252.218147
545	1250.564222
546	1248.149421
547	1246.386594
548	1243.97577
549	1241.90951
550	1239.230471
551	1236.832104
552	1234.087949
553	1232.289682
554	1230.159987
555	1228.573566
556	1226.990632
557	1223.156713
558	1221.815248
559	1219.537715
560	1217.760437
561	1215.386601
562	1214.985721
563	1212.850699
564	1210.385372
565	1210.04574
566	1209.821172
567	1209.497648
568	1208.139711
569	1205.206491
570	1203.075743
571	1200.261714
572	1199.142089
573	1196.906526
574	1194.757199
575	1192.418052
576	1191.049228
577	1189.566777
578	1188.01485
579	1185.230685
580	1183.875258
581	1183.683206
582	1181.221571
583	1178.253729
584	1176.448442
585	1174.759054
586	1173.055775
587	1171.356891
588	1170.392481
589	1168.556428
590	1167.307314
591	1164.421762
592	1162.018457
593	1161.139235
594	1160.144472
595	1157.592121
596	1155.355431
597	1153.662208
598	1151.612013
599	1151.431809
600	1149.432345
601	1148.437787
602	1147.112191
603	1145.159185
604	1142.936158
