iter	Passed	Remaining
417	1234	1719
418	1237	1715
419	1239	1712
420	1242	1708
421	1244	1704
422	1247	1701
423	1249	1697
424	1252	1694
425	1254	1690
426	1257	1687
427	1260	1684
428	1262	1680
429	1265	1677
430	1267	1673
431	1270	1671
432	1273	1667
433	1276	1664
434	1278	1661
435	1281	1657
436	1283	1654
437	1286	1650
438	1288	1647
439	1291	1643
440	1293	1639
441	1296	1636
442	1299	1633
443	1301	1630
444	1304	1627
445	1307	1624
446	1310	1621
447	1313	1618
448	1315	1614
449	1318	1612
450	1321	1609
451	1325	1606
452	1327	1603
453	1330	1600
454	1333	1596
455	1335	1593
456	1338	1590
457	1340	1586
458	1343	1583
459	1346	1580
460	1348	1576
461	1351	1573
462	1354	1570
463	1357	1567
464	1360	1565
465	1363	1561
466	1365	1558
467	1368	1555
468	1370	1552
469	1373	1549
470	1376	1546
471	1379	1542
472	1381	1539
473	1384	1536
474	1386	1532
475	1389	1529
476	1392	1526
477	1394	1523
478	1397	1519
479	1399	1516
480	1402	1513
481	1405	1510
482	1407	1506
483	1410	1503
484	1413	1500
485	1415	1497
486	1418	1493
487	1420	1490
488	1423	1487
489	1426	1484
490	1428	1481
491	1431	1477
492	1433	1474
493	1436	1471
494	1438	1467
495	1441	1464
496	1444	1461
497	1446	1458
498	1449	1454
499	1451	1451
500	1454	1449
501	1457	1446
502	1460	1443
503	1463	1440
504	1466	1437
505	1469	1434
506	1472	1431
507	1475	1428
508	1477	1425
509	1480	1422
510	1483	1419
511	1486	1416
512	1489	1413
513	1492	1410
514	1495	1407
515	1498	1405
516	1501	1402
517	1503	1399
518	1506	1396
519	1509	1393
520	1512	1390
521	1514	1386
522	1517	1383
523	1519	1380
524	1522	1377
525	1524	1374
526	1527	1370
527	1529	1367
528	1532	1364
529	1535	1361
530	1537	1358
531	1540	1355
532	1543	1352
533	1545	1348
534	1548	1345
535	1551	1342
536	1553	1339
537	1556	1336
538	1558	1332
539	1561	1329
540	1563	1326
541	1566	1323
542	1568	1320
543	1571	1317
544	1574	1314
545	1576	1310
546	1579	1307
547	1581	1304
548	1584	1301
549	1587	1298
550	1590	1295
551	1592	1292
552	1595	1289
553	1597	1286
554	1600	1283
555	1602	1279
556	1605	1276
557	1608	1273
558	1610	1270
559	1613	1267
560	1616	1264
561	1618	1261
562	1621	1258
563	1623	1255
564	1626	1252
565	1628	1248
566	1631	1245
567	1633	1242
568	1636	1239
569	1639	1236
570	1641	1233
571	1644	1230
572	1647	1227
573	1649	1224
574	1652	1221
575	1655	1218
576	1657	1215
577	1660	1211
578	1662	1209
579	1665	1205
580	1668	1202
581	1670	1199
582	1673	1196
583	1676	1193
584	1678	1190
585	1681	1187
586	1684	1184
587	1686	1181
588	1689	1178
589	1692	1175
590	1694	1172
591	1697	1169
592	1699	1166
593	1702	1163
594	1704	1160
595	1707	1157
596	1710	1154
597	1712	1151
598	1715	1148
599	1717	1145
600	1720	1142
601	1723	1139
602	1725	1136
603	1728	1133
604	1730	1129
605	1733	1126
606	1735	1123
607	1738	1120
608	1741	1117
609	1743	1114
610	1746	1111
611	1749	1108
612	1751	1105
613	1754	1102
614	1756	1099
615	1759	1096
616	1761	1093
617	1764	1090
618	1766	1087
619	1769	1084
620	1771	1081
621	1774	1078
622	1776	1075
623	1779	1072
624	1781	1069
625	1784	1066
626	1786	1062
627	1789	1059
628	1792	1057
629	1794	1053
630	1797	1050
631	1799	1047
632	1802	1044
633	1804	1041
634	1807	1038
635	1809	1035
636	1812	1032
637	1814	1029
638	1817	1026
639	1819	1023
640	1822	1020
641	1825	1017
642	1827	1014
643	1830	1011
644	1832	1008
645	1835	1005
646	1837	1002
647	1840	999
648	1842	996
649	1845	993
650	1847	990
651	1850	987
652	1853	984
653	1855	981
654	1858	978
655	1860	975
656	1863	972
657	1865	969
658	1868	966
659	1870	963
660	1873	960
661	1875	957
662	1878	954
663	1881	951
664	1883	948
665	1886	945
666	1888	943
667	1891	939
668	1894	937
669	1896	934
670	1899	931
671	1901	928
672	1904	925
673	1907	922
674	1909	919
675	1912	916
676	1914	913
677	1917	910
678	1920	907
679	1923	905
680	1926	902
681	1929	899
682	1932	896
683	1934	893
684	1937	890
685	1939	887
686	1942	884
687	1944	881
688	1947	878
689	1949	876
690	1952	873
691	1955	870
692	1957	867
693	1960	864
694	1962	861
695	1965	858
696	1967	855
697	1970	852
698	1972	849
699	1975	846
700	1978	843
701	1980	840
702	1983	837
703	1985	834
704	1988	832
705	1990	829
706	1993	826
707	1996	823
708	1998	820
709	2001	817
710	2003	814
711	2006	811
712	2008	808
713	2011	805
714	2013	802
715	2016	799
716	2019	796
717	2021	793
718	2024	791
719	2026	788
720	2029	785
721	2031	782
722	2034	779
723	2036	776
724	2039	773
725	2041	770
726	2044	767
727	2046	764
728	2049	761
729	2052	759
730	2054	756
731	2057	753
732	2060	750
733	2062	747
734	2065	744
735	2067	741
736	2071	739
737	2073	736
738	2076	733
739	2078	730
740	2081	727
741	2084	724
742	2086	721
743	2088	718
744	2091	715
745	2094	713
746	2096	710
747	2100	707
748	2103	705
749	2106	702
750	2109	699
751	2112	696
752	2114	693
753	2117	690
754	2119	687
755	2122	685
756	2125	682
757	2127	679
758	2129	676
759	2132	673
760	2135	670
761	2137	667
762	2140	664
763	2142	661
764	2145	658
765	2147	656
766	2150	653
767	2152	650
768	2155	647
769	2158	644
770	2160	641
771	2163	638
772	2165	635
773	2168	633
774	2170	630
775	2173	627
776	2175	624
777	2178	621
778	2180	618
779	2183	615
780	2186	613
781	2188	610
782	2191	607
783	2193	604
784	2196	601
785	2198	598
786	2201	595
787	2203	592
788	2206	590
789	2208	587
790	2211	584
791	2214	581
792	2216	578
793	2219	575
794	2221	572
795	2224	570
796	2227	567
797	2229	564
798	2231	561
799	2234	558
800	2237	555
801	2239	552
802	2242	550
803	2244	547
804	2247	544
805	2250	541
806	2253	538
807	2255	535
808	2258	533
809	2260	530
810	2263	527
811	2265	524
812	2268	521
813	2271	518
814	2273	516
815	2276	513
816	2278	510
817	2281	507
818	2283	504
819	2286	501
820	2289	499
821	2291	496
822	2294	493
823	2297	490
824	2299	487
825	2301	484
826	2304	482
827	2306	479
828	2309	476
829	2311	473
830	2314	470
831	2317	467
832	2319	465
833	2322	462
834	2324	459
835	2326	456
836	2329	453
837	2331	450
838	2334	447
839	2336	445
840	2339	442
841	2341	439
842	2344	436
843	2346	433
844	2349	430
845	2351	428
846	2354	425
847	2356	422
848	2359	419
849	2362	416
850	2364	414
851	2367	411
852	2369	408
853	2372	405
854	2374	402
855	2377	399
856	2379	397
857	2382	394
858	2385	391
859	2387	388
860	2390	385
861	2392	383
862	2395	380
863	2397	377
864	2400	374
865	2403	371
866	2405	369
867	2408	366
868	2410	363
869	2413	360
870	2415	357
871	2418	355
872	2420	352
873	2423	349
874	2426	346
875	2428	343
876	2431	341
877	2434	338
878	2436	335
879	2439	332
880	2441	329
881	2444	327
882	2447	324
883	2449	321
884	2452	318
885	2454	315
886	2457	313
887	2459	310
888	2462	307
889	2464	304
890	2467	301
891	2469	299
892	2472	296
893	2475	293
894	2477	290
895	2480	287
896	2483	285
897	2486	282
898	2489	279
899	2492	276
900	2495	274
901	2498	271
902	2500	268
903	2503	265
904	2506	263
905	2508	260
906	2511	257
907	2514	254
908	2516	251
909	2519	249
910	2521	246
911	2524	243
912	2527	240
913	2529	238
914	2532	235
915	2534	232
916	2537	229
917	2539	226
918	2542	224
919	2544	221
920	2547	218
921	2550	215
922	2552	212
923	2555	210
924	2557	207
925	2560	204
926	2563	201
927	2566	199
928	2568	196
929	2571	193
930	2574	190
931	2577	188
932	2579	185
933	2582	182
934	2584	179
935	2587	176
936	2589	174
937	2592	171
938	2595	168
939	2597	165
940	2600	163
941	2602	160
942	2605	157
943	2608	154
944	2610	151
945	2613	149
946	2616	146
947	2618	143
948	2621	140
949	2624	138
950	2626	135
951	2629	132
952	2632	129
953	2634	127
954	2637	124
955	2639	121
956	2642	118
957	2644	115
958	2647	113
959	2649	110
960	2652	107
961	2654	104
962	2657	102
963	2660	99
964	2662	96
965	2665	93
966	2667	91
967	2670	88
968	2672	85
969	2675	82
970	2677	79
971	2680	77
972	2682	74
973	2685	71
974	2687	68
975	2690	66
976	2693	63
977	2695	60
978	2698	57
979	2700	55
980	2703	52
981	2705	49
982	2708	46
983	2711	44
984	2713	41
985	2716	38
986	2718	35
987	2721	33
988	2723	30
989	2726	27
990	2728	24
991	2731	22
992	2734	19
993	2736	16
994	2739	13
995	2741	11
996	2744	8
997	2746	5
998	2749	2
999	2751	0
